order_id,order_date,region,channel,category,product,units,unit_price_usd,discount_rate,net_sales_usd,cogs_usd,gross_profit_usd,returned
NG-00054,2024-01-19,South,Retail,Kitchen,Cast Iron Pan,3,135,0,405,240,165,False
NG-00055,2024-01-20,South,Retail,Everyday,Canvas Tote,2,32,0,64,24,40,False
NG-00056,2024-01-20,West,Online,Home Office,Desk Lamp,1,58,0,58,28,30,False
NG-00057,2024-01-20,North,Online,Everyday,Insulated Bottle,1,42,0,42,18,24,False
NG-00058,2024-01-20,East,Online,Everyday,Canvas Tote,1,32,0.05,30.4,12,18.4,False
NG-00059,2024-01-21,North,Retail,Home Office,Desk Lamp,1,58,0.05,55.1,28,27.1,False
NG-00060,2024-01-21,South,Retail,Everyday,Insulated Bottle,1,42,0,42,18,24,False
NG-00061,2024-01-21,South,Retail,Home Office,Desk Lamp,3,58,0,174,84,90,False
NG-00062,2024-01-22,North,Marketplace,Living,Oak Side Table,2,189,0.05,359.1,224,135.1,False
NG-00063,2024-01-22,West,Marketplace,Living,Linen Throw,1,96,0.15,81.6,49,32.6,False
NG-00064,2024-01-22,West,Retail,Everyday,Travel Backpack,1,129,0.05,122.55,68,54.55,False
NG-00065,2024-01-23,North,Retail,Home Office,Ergonomic Chair,1,245,0,245,144,101,False
NG-00066,2024-01-23,North,Online,Home Office,Monitor Riser,1,72,0,72,33,39,False
NG-00067,2024-01-23,East,Retail,Home Office,Ergonomic Chair,1,245,0,245,144,101,False
NG-00068,2024-01-24,East,Marketplace,Kitchen,Pour Over Kit,3,79,0.05,0,0,0,True
NG-00069,2024-01-24,East,Online,Living,Accent Cushion,2,46,0.15,78.2,40,38.2,False
NG-00070,2024-01-24,West,Online,Everyday,Insulated Bottle,1,42,0,42,18,24,False
NG-00071,2024-01-24,North,Online,Kitchen,Cast Iron Pan,2,135,0.05,256.5,160,96.5,False
NG-00072,2024-01-24,North,Online,Everyday,Travel Backpack,2,129,0,258,136,122,False
NG-00073,2024-01-25,North,Online,Living,Linen Throw,2,96,0.05,182.4,98,84.4,False
NG-00074,2024-01-25,East,Online,Home Office,Desk Lamp,2,58,0,116,56,60,False
NG-00075,2024-01-25,West,Online,Kitchen,Ceramic Dinner Set,1,112,0,112,57,55,False
NG-00076,2024-01-25,South,Online,Everyday,Insulated Bottle,1,42,0.15,35.7,18,17.7,False
NG-00077,2024-01-26,West,Retail,Everyday,Travel Backpack,2,129,0,258,136,122,False
NG-00078,2024-01-26,North,Retail,Kitchen,Pour Over Kit,1,79,0,79,38,41,False
NG-00079,2024-01-26,East,Online,Home Office,Ergonomic Chair,1,245,0.1,220.5,144,76.5,False
NG-00080,2024-01-26,West,Online,Living,Linen Throw,2,96,0,192,98,94,False
NG-00081,2024-01-26,West,Retail,Everyday,Canvas Tote,2,32,0,64,24,40,False
NG-00082,2024-01-26,North,Retail,Everyday,Travel Backpack,1,129,0.05,122.55,68,54.55,False
NG-00083,2024-01-26,North,Retail,Everyday,Canvas Tote,1,32,0.05,30.4,12,18.4,False
NG-00084,2024-01-26,South,Online,Everyday,Travel Backpack,2,129,0,258,136,122,False
NG-00085,2024-01-27,East,Retail,Everyday,Travel Backpack,1,129,0.05,122.55,68,54.55,False
NG-00086,2024-01-27,South,Marketplace,Living,Linen Throw,1,96,0.1,86.4,49,37.4,False
NG-00087,2024-01-27,South,Online,Kitchen,Cast Iron Pan,1,135,0,135,80,55,False
NG-00088,2024-01-27,East,Retail,Home Office,Desk Lamp,1,58,0.05,55.1,28,27.1,False
NG-00089,2024-01-28,South,Retail,Living,Accent Cushion,1,46,0.05,43.7,20,23.7,False
NG-00090,2024-01-28,West,Retail,Living,Accent Cushion,1,46,0.1,41.4,20,21.4,False
NG-00091,2024-01-28,South,Online,Home Office,Desk Lamp,1,58,0.1,52.2,28,24.2,False
NG-00092,2024-01-28,South,Online,Home Office,Desk Lamp,1,58,0.1,52.2,28,24.2,False
NG-00093,2024-01-28,East,Retail,Kitchen,Pour Over Kit,1,79,0.05,75.05,38,37.05,False
NG-00094,2024-01-29,North,Marketplace,Everyday,Travel Backpack,1,129,0.05,122.55,68,54.55,False
NG-00095,2024-01-29,North,Online,Kitchen,Cast Iron Pan,2,135,0,270,160,110,False
NG-00096,2024-01-29,North,Online,Kitchen,Cast Iron Pan,1,135,0,135,80,55,False
NG-00097,2024-01-29,East,Online,Everyday,Insulated Bottle,1,42,0,42,18,24,False
NG-00098,2024-01-30,North,Online,Home Office,Desk Lamp,2,58,0.05,110.2,56,54.2,False
NG-00099,2024-01-30,North,Retail,Everyday,Insulated Bottle,2,42,0.15,71.4,36,35.4,False
NG-00100,2024-01-30,North,Marketplace,Everyday,Canvas Tote,1,32,0.05,30.4,12,18.4,False
NG-00101,2024-01-31,East,Marketplace,Everyday,Insulated Bottle,1,42,0.15,35.7,18,17.7,False
NG-00102,2024-02-01,North,Online,Everyday,Insulated Bottle,1,42,0,42,18,24,False
NG-00103,2024-02-02,North,Online,Home Office,Monitor Riser,1,72,0.15,61.2,33,28.2,False
NG-00104,2024-02-02,North,Online,Kitchen,Pour Over Kit,1,79,0.05,75.05,38,37.05,False
NG-00105,2024-02-02,South,Retail,Living,Accent Cushion,1,46,0,46,20,26,False
NG-00106,2024-02-02,East,Online,Living,Linen Throw,2,96,0.05,182.4,98,84.4,False
NG-00107,2024-02-03,North,Marketplace,Living,Linen Throw,3,96,0.05,273.6,147,126.6,False
NG-00108,2024-02-03,East,Online,Everyday,Insulated Bottle,3,42,0,126,54,72,False
NG-00109,2024-02-03,East,Online,Living,Linen Throw,2,96,0,192,98,94,False
NG-00110,2024-02-03,East,Marketplace,Kitchen,Pour Over Kit,2,79,0.05,150.1,76,74.1,False
NG-00111,2024-02-03,West,Online,Living,Accent Cushion,1,46,0,46,20,26,False
NG-00112,2024-02-03,South,Online,Home Office,Monitor Riser,1,72,0,72,33,39,False
NG-00113,2024-02-04,North,Marketplace,Everyday,Canvas Tote,1,32,0.05,30.4,12,18.4,False
NG-00114,2024-02-04,West,Online,Everyday,Insulated Bottle,1,42,0.15,35.7,18,17.7,False
NG-00115,2024-02-04,West,Marketplace,Home Office,Desk Lamp,1,58,0.05,55.1,28,27.1,False
NG-00116,2024-02-04,North,Online,Home Office,Desk Lamp,1,58,0.1,52.2,28,24.2,False
NG-00117,2024-02-04,East,Online,Home Office,Monitor Riser,1,72,0.15,61.2,33,28.2,False
NG-00118,2024-02-05,West,Retail,Living,Accent Cushion,1,46,0,46,20,26,False
NG-00119,2024-02-06,West,Retail,Kitchen,Pour Over Kit,3,79,0.2,189.6,114,75.6,False
NG-00120,2024-02-06,West,Online,Home Office,Ergonomic Chair,1,245,0.15,208.25,144,64.25,False
NG-00121,2024-02-06,East,Online,Home Office,Ergonomic Chair,1,245,0,245,144,101,False
NG-00122,2024-02-06,West,Online,Everyday,Canvas Tote,1,32,0.1,28.8,12,16.8,False
NG-00123,2024-02-07,North,Marketplace,Kitchen,Pour Over Kit,1,79,0.1,71.1,38,33.1,False
NG-00124,2024-02-07,East,Online,Kitchen,Ceramic Dinner Set,3,112,0.15,0,0,0,True
NG-00125,2024-02-08,South,Online,Home Office,Desk Lamp,1,58,0.2,46.4,28,18.4,False
NG-00126,2024-02-09,West,Retail,Kitchen,Cast Iron Pan,1,135,0,135,80,55,False
NG-00127,2024-02-09,North,Online,Living,Oak Side Table,2,189,0.15,321.3,224,97.3,False
NG-00128,2024-02-10,East,Marketplace,Home Office,Desk Lamp,2,58,0.05,110.2,56,54.2,False
NG-00129,2024-02-10,South,Retail,Home Office,Desk Lamp,1,58,0.1,52.2,28,24.2,False
NG-00130,2024-02-10,North,Retail,Home Office,Monitor Riser,1,72,0,72,33,39,False
NG-00131,2024-02-10,East,Retail,Everyday,Canvas Tote,2,32,0,64,24,40,False
NG-00132,2024-02-10,North,Retail,Home Office,Ergonomic Chair,1,245,0.05,232.75,144,88.75,False
NG-00133,2024-02-10,East,Online,Kitchen,Cast Iron Pan,1,135,0,135,80,55,False
NG-00134,2024-02-11,North,Retail,Home Office,Monitor Riser,4,72,0.2,230.4,132,98.4,False
NG-00135,2024-02-12,North,Marketplace,Kitchen,Ceramic Dinner Set,1,112,0.05,106.4,57,49.4,False
NG-00136,2024-02-12,East,Retail,Home Office,Ergonomic Chair,3,245,0,735,432,303,False
NG-00137,2024-02-12,North,Marketplace,Home Office,Monitor Riser,1,72,0.05,68.4,33,35.4,False
NG-00138,2024-02-13,South,Online,Kitchen,Ceramic Dinner Set,1,112,0.05,0,0,0,True
NG-00139,2024-02-14,North,Retail,Home Office,Monitor Riser,3,72,0,216,99,117,False
NG-00140,2024-02-15,East,Marketplace,Home Office,Ergonomic Chair,1,245,0.1,220.5,144,76.5,False
NG-00141,2024-02-15,North,Online,Home Office,Desk Lamp,1,58,0,58,28,30,False
NG-00142,2024-02-16,East,Marketplace,Kitchen,Ceramic Dinner Set,3,112,0.05,0,0,0,True
NG-00143,2024-02-17,West,Online,Everyday,Travel Backpack,1,129,0.1,0,0,0,True
NG-00144,2024-02-17,East,Marketplace,Living,Accent Cushion,2,46,0.05,0,0,0,True
NG-00145,2024-02-17,North,Retail,Kitchen,Ceramic Dinner Set,1,112,0.1,100.8,57,43.8,False
NG-00146,2024-02-18,South,Online,Kitchen,Cast Iron Pan,2,135,0,270,160,110,False
NG-00147,2024-02-18,West,Retail,Home Office,Desk Lamp,1,58,0,58,28,30,False
NG-00148,2024-02-19,West,Marketplace,Living,Oak Side Table,1,189,0.05,179.55,112,67.55,False
NG-00149,2024-02-19,North,Retail,Home Office,Ergonomic Chair,1,245,0,245,144,101,False
NG-00150,2024-02-19,South,Online,Living,Accent Cushion,1,46,0.1,41.4,20,21.4,False
NG-00151,2024-02-19,East,Marketplace,Everyday,Travel Backpack,1,129,0.05,122.55,68,54.55,False
NG-00152,2024-02-20,East,Retail,Kitchen,Pour Over Kit,1,79,0.05,75.05,38,37.05,False
NG-00153,2024-02-20,West,Retail,Kitchen,Cast Iron Pan,2,135,0,270,160,110,False
NG-00154,2024-02-21,South,Online,Everyday,Insulated Bottle,1,42,0,42,18,24,False
NG-00155,2024-02-21,North,Online,Everyday,Insulated Bottle,3,42,0.1,113.4,54,59.4,False
NG-00156,2024-02-21,West,Retail,Home Office,Monitor Riser,1,72,0,72,33,39,False
NG-00157,2024-02-21,South,Online,Home Office,Monitor Riser,3,72,0.1,194.4,99,95.4,False
NG-00158,2024-02-22,West,Online,Everyday,Travel Backpack,1,129,0,129,68,61,False
NG-00159,2024-02-22,East,Marketplace,Everyday,Canvas Tote,1,32,0.05,30.4,12,18.4,False
NG-00160,2024-02-22,West,Online,Home Office,Monitor Riser,1,72,0,72,33,39,False
NG-00161,2024-02-22,East,Retail,Living,Linen Throw,1,96,0,96,49,47,False
NG-00162,2024-02-22,North,Marketplace,Kitchen,Pour Over Kit,1,79,0.05,75.05,38,37.05,False
NG-00163,2024-02-22,East,Retail,Home Office,Desk Lamp,2,58,0,116,56,60,False
NG-00164,2024-02-22,South,Online,Home Office,Desk Lamp,1,58,0.1,52.2,28,24.2,False
NG-00165,2024-02-23,South,Marketplace,Living,Linen Throw,1,96,0.05,91.2,49,42.2,False
NG-00166,2024-02-23,South,Retail,Everyday,Travel Backpack,1,129,0,129,68,61,False
NG-00167,2024-02-23,North,Online,Home Office,Monitor Riser,1,72,0.05,68.4,33,35.4,False
NG-00168,2024-02-24,North,Online,Everyday,Insulated Bottle,2,42,0.05,79.8,36,43.8,False
NG-00169,2024-02-24,East,Retail,Kitchen,Cast Iron Pan,1,135,0.05,128.25,80,48.25,False
NG-00170,2024-02-24,North,Online,Everyday,Insulated Bottle,1,42,0,42,18,24,False
NG-00171,2024-02-24,East,Marketplace,Home Office,Desk Lamp,3,58,0.05,165.3,84,81.3,False
NG-00172,2024-02-24,East,Marketplace,Living,Linen Throw,3,96,0.05,273.6,147,126.6,False
NG-00173,2024-02-25,East,Retail,Living,Linen Throw,4,96,0,384,196,188,False
NG-00174,2024-02-26,West,Retail,Kitchen,Pour Over Kit,1,79,0.05,75.05,38,37.05,False
NG-00175,2024-02-26,North,Online,Home Office,Desk Lamp,1,58,0,58,28,30,False
NG-00176,2024-02-26,South,Marketplace,Kitchen,Pour Over Kit,1,79,0.05,75.05,38,37.05,False
NG-00177,2024-02-26,North,Marketplace,Everyday,Insulated Bottle,1,42,0.05,39.9,18,21.9,False
NG-00178,2024-02-26,South,Retail,Everyday,Insulated Bottle,1,42,0.1,37.8,18,19.8,False
NG-00179,2024-02-27,East,Online,Home Office,Monitor Riser,1,72,0.15,61.2,33,28.2,False
NG-00180,2024-02-27,North,Online,Living,Accent Cushion,1,46,0.1,41.4,20,21.4,False
NG-00181,2024-02-27,West,Marketplace,Everyday,Insulated Bottle,2,42,0.05,79.8,36,43.8,False
NG-00182,2024-02-27,East,Retail,Living,Oak Side Table,1,189,0,189,112,77,False
NG-00183,2024-02-27,North,Online,Home Office,Desk Lamp,1,58,0,58,28,30,False
NG-00184,2024-02-28,South,Online,Home Office,Monitor Riser,2,72,0.15,122.4,66,56.4,False
NG-00185,2024-02-28,South,Online,Kitchen,Pour Over Kit,1,79,0,79,38,41,False
NG-00186,2024-02-28,North,Retail,Home Office,Ergonomic Chair,1,245,0,245,144,101,False
NG-00187,2024-02-28,North,Retail,Kitchen,Pour Over Kit,1,79,0,79,38,41,False
NG-00188,2024-02-29,West,Retail,Living,Oak Side Table,1,189,0,189,112,77,False
NG-00189,2024-03-01,North,Online,Everyday,Insulated Bottle,1,42,0.05,39.9,18,21.9,False
NG-00190,2024-03-01,North,Marketplace,Home Office,Desk Lamp,2,58,0.05,110.2,56,54.2,False
NG-00191,2024-03-02,East,Retail,Home Office,Monitor Riser,1,72,0.05,68.4,33,35.4,False
NG-00192,2024-03-02,North,Online,Kitchen,Cast Iron Pan,1,135,0.05,128.25,80,48.25,False
NG-00193,2024-03-03,West,Online,Living,Oak Side Table,1,189,0,189,112,77,False
NG-00194,2024-03-03,East,Marketplace,Kitchen,Cast Iron Pan,1,135,0.05,128.25,80,48.25,False
NG-00195,2024-03-03,West,Marketplace,Home Office,Ergonomic Chair,3,245,0.05,0,0,0,True
NG-00196,2024-03-04,East,Marketplace,Home Office,Monitor Riser,1,72,0.05,68.4,33,35.4,False
NG-00197,2024-03-05,South,Marketplace,Home Office,Desk Lamp,1,58,0.1,52.2,28,24.2,False
NG-00198,2024-03-05,South,Retail,Kitchen,Pour Over Kit,2,79,0.1,142.2,76,66.2,False
NG-00199,2024-03-05,North,Retail,Home Office,Desk Lamp,1,58,0,58,28,30,False
NG-00200,2024-03-05,North,Marketplace,Living,Linen Throw,1,96,0.05,91.2,49,42.2,False
NG-00201,2024-03-05,East,Online,Home Office,Desk Lamp,1,58,0.2,46.4,28,18.4,False
NG-00202,2024-03-05,East,Online,Kitchen,Cast Iron Pan,1,135,0,0,0,0,True
NG-00203,2024-03-06,South,Online,Living,Oak Side Table,2,189,0.2,302.4,224,78.4,False
NG-00204,2024-03-07,East,Online,Home Office,Ergonomic Chair,1,245,0,245,144,101,False
NG-00205,2024-03-07,North,Retail,Living,Linen Throw,1,96,0,96,49,47,False
NG-00206,2024-03-07,East,Retail,Kitchen,Ceramic Dinner Set,1,112,0.05,106.4,57,49.4,False
NG-00207,2024-03-07,North,Online,Living,Accent Cushion,1,46,0,46,20,26,False
NG-00208,2024-03-07,South,Marketplace,Home Office,Ergonomic Chair,3,245,0.05,698.25,432,266.25,False
NG-00209,2024-03-07,North,Retail,Kitchen,Ceramic Dinner Set,1,112,0,112,57,55,False
NG-00210,2024-03-07,East,Online,Home Office,Monitor Riser,1,72,0.15,61.2,33,28.2,False
NG-00211,2024-03-08,North,Retail,Everyday,Insulated Bottle,2,42,0,84,36,48,False
NG-00212,2024-03-08,South,Retail,Kitchen,Cast Iron Pan,2,135,0.1,243.0,160,83.0,False
NG-00213,2024-03-08,North,Marketplace,Kitchen,Cast Iron Pan,1,135,0.2,108.0,80,28.0,False
NG-00214,2024-03-08,West,Online,Living,Accent Cushion,1,46,0,46,20,26,False
NG-00215,2024-03-08,West,Online,Home Office,Monitor Riser,1,72,0.2,57.6,33,24.6,False
NG-00216,2024-03-08,South,Retail,Home Office,Desk Lamp,3,58,0,174,84,90,False
NG-00217,2024-03-08,North,Retail,Home Office,Desk Lamp,2,58,0,116,56,60,False
NG-00218,2024-03-09,South,Retail,Everyday,Canvas Tote,1,32,0.05,30.4,12,18.4,False
NG-00219,2024-03-09,South,Online,Kitchen,Cast Iron Pan,1,135,0.1,121.5,80,41.5,False
NG-00220,2024-03-10,East,Marketplace,Living,Accent Cushion,1,46,0.05,43.7,20,23.7,False
NG-00221,2024-03-10,South,Retail,Everyday,Canvas Tote,2,32,0,64,24,40,False
NG-00222,2024-03-10,North,Retail,Living,Accent Cushion,4,46,0.15,156.4,80,76.4,False
NG-00223,2024-03-10,West,Retail,Living,Accent Cushion,2,46,0.05,87.4,40,47.4,False
NG-00224,2024-03-10,West,Marketplace,Home Office,Monitor Riser,1,72,0.05,68.4,33,35.4,False
NG-00225,2024-03-10,North,Online,Living,Linen Throw,1,96,0,96,49,47,False
NG-00226,2024-03-11,South,Marketplace,Home Office,Desk Lamp,1,58,0.1,0,0,0,True
NG-00227,2024-03-12,North,Marketplace,Kitchen,Ceramic Dinner Set,1,112,0.1,100.8,57,43.8,False
NG-00228,2024-03-12,East,Online,Everyday,Insulated Bottle,1,42,0,42,18,24,False
NG-00229,2024-03-12,East,Retail,Living,Linen Throw,1,96,0.2,76.8,49,27.8,False
NG-00230,2024-03-12,South,Retail,Kitchen,Cast Iron Pan,4,135,0,540,320,220,False
NG-00231,2024-03-13,East,Retail,Home Office,Desk Lamp,1,58,0.05,55.1,28,27.1,False
NG-00232,2024-03-13,East,Marketplace,Everyday,Insulated Bottle,1,42,0.05,39.9,18,21.9,False
NG-00233,2024-03-14,North,Online,Everyday,Insulated Bottle,1,42,0,42,18,24,False
NG-00234,2024-03-14,South,Marketplace,Living,Oak Side Table,1,189,0.05,179.55,112,67.55,False
NG-00235,2024-03-14,North,Marketplace,Living,Accent Cushion,1,46,0.05,43.7,20,23.7,False
NG-00236,2024-03-15,North,Online,Everyday,Insulated Bottle,1,42,0,42,18,24,False
NG-00237,2024-03-15,East,Retail,Kitchen,Pour Over Kit,4,79,0.05,300.2,152,148.2,False
NG-00238,2024-03-15,South,Retail,Home Office,Monitor Riser,1,72,0,72,33,39,False
NG-00239,2024-03-16,West,Online,Home Office,Ergonomic Chair,1,245,0,245,144,101,False
NG-00240,2024-03-16,South,Retail,Kitchen,Ceramic Dinner Set,2,112,0,224,114,110,False
NG-00241,2024-03-16,West,Retail,Home Office,Desk Lamp,2,58,0,116,56,60,False
NG-00242,2024-03-16,East,Online,Living,Accent Cushion,2,46,0,92,40,52,False
NG-00243,2024-03-17,West,Online,Home Office,Desk Lamp,1,58,0,58,28,30,False
NG-00244,2024-03-17,South,Online,Everyday,Travel Backpack,1,129,0,129,68,61,False
NG-00245,2024-03-17,South,Online,Living,Linen Throw,1,96,0,96,49,47,False
NG-00246,2024-03-17,South,Marketplace,Kitchen,Ceramic Dinner Set,4,112,0.1,0,0,0,True
NG-00247,2024-03-17,South,Retail,Living,Linen Throw,1,96,0.1,86.4,49,37.4,False
NG-00248,2024-03-17,South,Online,Living,Linen Throw,3,96,0,288,147,141,False
NG-00249,2024-03-17,West,Online,Everyday,Travel Backpack,1,129,0,129,68,61,False
NG-00250,2024-03-17,South,Retail,Living,Linen Throw,1,96,0.15,81.6,49,32.6,False
NG-00251,2024-03-18,South,Online,Home Office,Ergonomic Chair,3,245,0.15,624.75,432,192.75,False
NG-00252,2024-03-18,West,Marketplace,Everyday,Insulated Bottle,2,42,0.05,79.8,36,43.8,False
NG-00253,2024-03-18,East,Marketplace,Everyday,Insulated Bottle,1,42,0.05,39.9,18,21.9,False
NG-00254,2024-03-19,North,Online,Kitchen,Ceramic Dinner Set,3,112,0.05,319.2,171,148.2,False
NG-00255,2024-03-19,West,Online,Living,Oak Side Table,1,189,0.2,151.2,112,39.2,False
NG-00256,2024-03-19,East,Online,Living,Accent Cushion,2,46,0,92,40,52,False
NG-00257,2024-03-19,East,Online,Living,Accent Cushion,1,46,0,46,20,26,False
NG-00258,2024-03-20,South,Online,Home Office,Desk Lamp,1,58,0.1,52.2,28,24.2,False
NG-00259,2024-03-21,West,Retail,Living,Linen Throw,1,96,0.05,91.2,49,42.2,False
NG-00260,2024-03-21,North,Online,Living,Linen Throw,3,96,0.05,273.6,147,126.6,False
NG-00261,2024-03-21,South,Retail,Everyday,Canvas Tote,1,32,0,32,12,20,False
NG-00262,2024-03-22,North,Retail,Home Office,Desk Lamp,1,58,0.1,52.2,28,24.2,False
NG-00263,2024-03-22,East,Marketplace,Living,Linen Throw,1,96,0.15,81.6,49,32.6,False
NG-00264,2024-03-22,South,Online,Home Office,Ergonomic Chair,1,245,0,245,144,101,False
NG-00265,2024-03-22,West,Marketplace,Kitchen,Ceramic Dinner Set,1,112,0.05,106.4,57,49.4,False
NG-00266,2024-03-22,East,Retail,Kitchen,Ceramic Dinner Set,1,112,0.05,106.4,57,49.4,False
NG-00267,2024-03-23,South,Online,Everyday,Travel Backpack,1,129,0.15,109.65,68,41.65,False
NG-00268,2024-03-23,East,Retail,Kitchen,Ceramic Dinner Set,1,112,0.15,95.2,57,38.2,False
NG-00269,2024-03-23,North,Marketplace,Kitchen,Ceramic Dinner Set,1,112,0.05,106.4,57,49.4,False
NG-00270,2024-03-23,North,Marketplace,Everyday,Insulated Bottle,2,42,0.05,0,0,0,True
NG-00271,2024-03-23,North,Retail,Living,Linen Throw,3,96,0,288,147,141,False
NG-00272,2024-03-24,South,Retail,Living,Linen Throw,1,96,0.2,76.8,49,27.8,False
NG-00273,2024-03-24,South,Retail,Kitchen,Ceramic Dinner Set,1,112,0,112,57,55,False
NG-00274,2024-03-24,East,Retail,Kitchen,Ceramic Dinner Set,3,112,0.05,319.2,171,148.2,False
NG-00275,2024-03-24,West,Marketplace,Everyday,Insulated Bottle,1,42,0.05,39.9,18,21.9,False
NG-00276,2024-03-24,East,Retail,Home Office,Ergonomic Chair,1,245,0,245,144,101,False
NG-00277,2024-03-24,North,Marketplace,Everyday,Travel Backpack,1,129,0.05,122.55,68,54.55,False
NG-00278,2024-03-24,West,Online,Living,Oak Side Table,1,189,0.15,160.65,112,48.65,False
